event_id,event_name,year,total_damage_usd,total_damage_bn,infrastructure_cost,owner_registrations,renter_registrations,total_displaced,renter_pct,total_owner_ihp_amount,total_renter_ihp_amount,incident_begin,incident_end,disaster_type,affected_zones
DR-4266,Severe Storms (March 2016),2016,1590635565.9,1.59,0.0,3039,1212,4251,28.5,0.0,0.0,2016-03-07,2016-03-29,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
DR-4269,Tax Day Flood (April 2016),2016,4720173621.9,4.72,480000000.0,14476,11780,26256,44.9,29413924.11,18135665.94,2016-04-17,2016-04-30,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
DR-4272,Severe Storms (June 2016),2016,3506151359.4,3.51,200000000.0,10407,2562,12969,19.8,1429849.47,286076.17,2016-05-22,2016-06-24,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
DR-4332,Hurricane Harvey,2017,125024598053.4,125.02,3600000000.0,183459,263617,447076,59.0,587923710.17,192694336.2,2017-08-23,2017-09-15,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
DR-4466,Tropical Storm Imelda,2019,6078472070.1,6.08,0.0,15986,9804,25790,38.0,9169058.78,2889908.52,2019-09-17,2019-09-23,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
DR-4781,Severe Storms (May 2024),2024,11974951604.7,11.97,346300000.0,75225,102218,177443,57.6,81872435.8,48931629.12,2024-04-26,2024-06-05,Flood,"Brays Bayou, Buffalo Bayou, White Oak Bayou, Addicks Reservoir, Barker Reservoir, Hunting Bayou, Meyerland, East Houston, Greenspoint"
